simulated_process,response_process_shape,response_process,seed,exec time,T,q_bartlett,cov lag 0 RMSE,spec density MSE - FRO,spec density RMSE - FRO,spec density R2MSE - FRO,spec density MSE - intmax,spec density RMSE - intmax,spec density R2MSE - intmax,spec density MSE - maxmax,spec density RMSE - maxmax,spec cross density MSE - L2,spec cross density RMSE - L2,spec cross density MSE - intmax,spec cross density RMSE - intmax,transfer: truncation parameter,transfer: RMSE,transfer: MSE,Z error train,Z error train (true dynamics),Z error test,Z error test (true dynamics),Z error train (holdout),Z error train (holdout true dynamics),
1,2,3,4001541453,14.7357,300,17,0.036743,0.017552,0.10641,0.81569,0.85293,0.38449,2.3632,0.34248,0.5818,0.18417,1.427,0.1842,2.6726,1e-05         0.1,0.46827,0.19216,0.12591,0.017476,0.19386,0.017458,0.41068,0.017147,
4,3,2,1364107831,21.9486,900,30,0.0063587,0.015722,0.037885,0.2794,0.7665,0.2335,1.5066,0.25887,0.39931,2.3327,0.047511,2.3328,1.7377,1e-05         0.1,0.25707,0.21106,0.03481,0.0024806,0.041243,0.0022261,0.068095,0.0011601,
0,1,2,1748202772,20.0764,600,24,0.009048,0.0051842,0.087795,0.55163,0.42198,0.31214,1.9612,0.099586,0.46285,0.0013509,5.2487,0.001364,0.28711,1e-05         0.1,0.99998,2.0004,29.6491,33.2136,39.1271,35.1977,42.4713,39.1151,
0,2,1,657689026,17.551,900,30,0.0071989,0.0048474,0.08209,0.51579,0.40508,0.29964,1.8827,0.12827,0.59616,0.060991,0.62653,0.060997,0.89591,1e-05         0.1,0.090581,0.080119,0.062608,0.020435,0.090181,0.019835,0.12382,0.022193,
1,2,3,3371756542,17.7738,600,24,0.0082967,0.011253,0.068222,0.6014,0.61364,0.27662,1.7991,0.194,0.32956,0.10872,0.84236,0.10875,1.5778,1e-05         0.1,0.37831,0.20503,0.087739,0.015938,0.17326,0.013366,0.19189,0.013689,
0,3,3,681409583,18.7561,600,24,0.0051609,0.0057259,0.096967,0.60926,0.44969,0.33264,2.09,0.10671,0.49598,1.3155,0.10493,1.3156,2.0539,1e-05         0.1,0.33455,0.10447,0.041439,0.0015136,0.033216,0.0016361,0.07074,0.0012756,
1,2,3,2267039886,18.8713,900,30,0.0071296,0.0098514,0.059726,0.44746,0.55762,0.25136,1.5849,0.161,0.27349,0.11887,0.92105,0.11889,1.725,1e-05         0.1,0.29953,0.10758,0.068232,0.015816,0.090512,0.016037,0.13855,0.016119,
1,2,2,3818475767,14.9489,300,17,0.04266,0.026738,0.1621,0.88092,0.8199,0.3696,2.213,0.27644,0.4696,0.13537,1.3883,0.13539,1.9913,1e-05         0.1,0.33308,0.22675,0.094274,0.032206,0.24495,0.021675,0.19283,0.021883,
0,2,3,4009776422,17.7764,300,17,0.022992,0.010627,0.17996,1.1308,0.63466,0.46946,2.9497,0.18245,0.84797,0.30214,2.3422,0.30218,4.3885,1e-05         0.1,0.61026,0.27168,0.10056,0.025798,0.19509,0.021851,0.29751,0.017819,
0,3,1,2392523647,21.2259,300,17,0.011996,0.008626,0.14608,0.91786,0.54105,0.40022,2.5146,0.11163,0.51884,0.95196,0.10062,0.95201,1.5031,1e-05         0.1,0.094099,0.0659,0.039313,0.013173,0.028497,0.0027688,0.045388,0.0025791,
