simulated_process,response_process,seed,exec time,T,q_bartlett,cov lag 0 RMSE,spec density MSE - FRO,spec density RMSE - FRO,spec density R2MSE - FRO,spec density MSE - intmax,spec density RMSE - intmax,spec density R2MSE - intmax,spec density MSE - maxmax,spec density RMSE - maxmax,spec cross density MSE - L2,spec cross density RMSE - L2,spec cross density MSE - intmax,spec cross density RMSE - intmax,transfer: tikhonov parameter,transfer: RMSE,Z error train,Z error train (true dynamics),Z error test,Z error test (true dynamics),Z error train (holdout),Z error train (holdout true dynamics),
0,1,796380154,10.438,600,24,0.001913,0.0045999,0.073637,0.46267,0.32557,0.32517,2.0431,0.092195,0.57857,1.313,0.081818,1.3133,1.7853,0.041667,0.4907,0.27184,0.12275,0.29364,0.12756,0.33427,0.11326,
0,2,2093877628,9.7156,300,17,0.0097895,0.0085059,0.13617,0.85555,0.43752,0.43699,2.7457,0.15071,0.94575,3.5381,0.16306,3.5383,4.4051,0.058824,0.48128,0.32815,0.12949,0.30014,0.08348,0.46718,0.12192,
0,1,1763035913,9.6903,300,17,0.018978,0.0073993,0.11845,0.74425,0.43445,0.43392,2.7264,0.11066,0.69446,1.7053,0.11535,1.7061,2.3501,0.058824,0.5688,0.32978,0.14346,0.35534,0.13951,0.4638,0.12712,
0,1,3992462083,9.7667,300,17,0.054203,0.0090775,0.14532,0.91305,0.45198,0.45142,2.8364,0.10906,0.68443,2.0955,0.10714,2.0958,2.6902,0.058824,0.49606,0.29308,0.12014,0.28919,0.098914,0.35998,0.10833,
0,1,2138650934,9.8299,300,17,0.0096111,0.0060558,0.096943,0.60911,0.39332,0.39284,2.4683,0.10245,0.64292,2.137,0.18118,2.1372,2.9913,0.058824,0.54838,0.3189,0.14401,0.46441,0.1596,0.31378,0.11006,
0,1,1883235831,9.8111,300,17,0.0022987,0.0048405,0.077488,0.48687,0.36093,0.36049,2.265,0.090791,0.56975,0.93436,0.09629,0.93457,1.4422,0.058824,0.64462,0.44162,0.16278,0.47046,0.15698,0.58106,0.19358,
0,1,156262939,10.4497,600,24,0.0054898,0.0046389,0.074261,0.4666,0.32847,0.32806,2.0613,0.08316,0.52187,1.3909,0.063402,1.3917,1.741,0.041667,0.36639,0.19249,0.0964,0.21371,0.095046,0.20518,0.09386,
0,1,3102764675,10.4672,600,24,0.0026246,0.0040305,0.064523,0.40541,0.35606,0.35563,2.2345,0.11737,0.73657,1.172,0.059074,1.1721,1.5388,0.041667,0.46319,0.21581,0.096564,0.30034,0.10352,0.22279,0.091891,
4,3,2228950589,10.5817,300,17,0.017633,0.025832,0.046498,0.74232,0.58198,0.29411,2.022,0.31455,0.34713,27.8804,0.13058,27.8805,16.0212,0.058824,0.73591,0.16749,0.035055,0.21773,0.041311,0.27461,0.027303,
0,1,345180067,10.9963,900,30,0.003,0.0036577,0.058554,0.3679,0.31555,0.31516,1.9802,0.10193,0.63964,1.1666,0.062231,1.1669,1.3992,0.033333,0.3813,0.18302,0.10877,0.18839,0.10839,0.17548,0.092923,
