simulated_process,response_process,seed,exec time,T,q_bartlett,cov lag 0 RMSE,spec density MSE - FRO,spec density RMSE - FRO,spec density R2MSE - FRO,spec density MSE - intmax,spec density RMSE - intmax,spec density R2MSE - intmax,spec density MSE - maxmax,spec density RMSE - maxmax,spec cross density MSE - L2,spec cross density RMSE - L2,spec cross density MSE - intmax,spec cross density RMSE - intmax,transfer: tikhonov parameter,transfer: RMSE,Z error train,Z error train (true dynamics),Z error test,Z error test (true dynamics),Z error train (holdout),Z error train (holdout true dynamics),
0,3,2309129027,6.9765,600,24,0.009218,0.12665,0.092231,0.57951,1.764,0.35278,2.2166,0.66824,0.83971,27.7257,0.094761,27.7277,7.5233,0.041667,0.46213,0.090062,0.026872,0.10238,0.025183,0.1585,0.024277,
0,3,2307362356,6.9439,600,24,0.0053314,0.096113,0.069995,0.43979,1.5537,0.31074,1.9524,0.68478,0.8605,29.3542,0.058079,29.3554,7.7832,0.041667,0.33492,0.037943,0.017878,0.051485,0.021776,0.058637,0.021077,
0,3,2138129583,6.9536,600,24,0.0072188,0.11241,0.081863,0.51436,1.5328,0.30655,1.9261,0.34538,0.43401,42.276,0.11619,42.2781,10.4974,0.041667,0.34279,0.052176,0.023851,0.063241,0.023365,0.065717,0.0173,
4,1,2730175835,12.8075,600,24,0.0039336,0.28394,0.069579,0.52674,2.8454,0.24376,1.5942,0.82171,0.3648,51.4144,0.10403,51.4151,10.7496,0.041667,0.22157,0.044374,0.022277,0.058042,0.02451,0.062427,0.020164,
4,1,109818651,12.1476,600,24,0.0039361,0.27186,0.066619,0.45726,2.802,0.24004,1.5307,0.74805,0.3321,40.4726,0.079019,40.4735,8.3331,0.041667,0.28917,0.060474,0.026295,0.061326,0.026154,0.086881,0.023509,
1,2,1256637813,20.569,900,30,0.0028398,0.21497,0.040963,0.31448,1.9551,0.21135,1.2957,0.73839,0.29503,41.283,0.072804,41.2833,9.1671,0.033333,0.15639,0.043925,0.023117,0.048946,0.022387,0.046055,0.016564,
1,2,1745429490,15.9284,900,30,0.01354,0.27315,0.05205,0.38299,2.2271,0.24075,1.4616,0.93754,0.3746,59.543,0.11,59.5438,13.7292,0.033333,0.20776,0.051951,0.024307,0.065748,0.025415,0.071945,0.023874,
1,2,2016752160,12.6319,300,17,0.016263,0.45633,0.086956,0.72244,2.7142,0.29341,1.7764,0.98133,0.3921,84.3676,0.20027,84.3684,22.1404,0.058824,0.35334,0.095838,0.029932,0.15291,0.026881,0.16163,0.026936,
0,2,4019114468,6.5713,300,17,0.023043,0.21002,0.15295,0.96101,2.1932,0.43862,2.7559,0.63179,0.7939,50.9775,0.1821,50.9805,13.8916,0.058824,0.29574,0.14027,0.047171,0.15541,0.025373,0.23411,0.029286,
4,3,3152531610,7.1068,300,17,0.010008,0.36428,0.089267,0.57044,3.2522,0.27861,1.7763,1.0539,0.46789,92.7647,0.1565,92.7659,18.9036,0.058824,0.44557,0.054101,0.016869,0.075072,0.016563,0.083845,0.015962,
