simulated_process,response_process,seed,exec time,T,q_bartlett,cov lag 0 RMSE,spec density MSE - FRO,spec density RMSE - FRO,spec density R2MSE - FRO,spec density MSE - intmax,spec density RMSE - intmax,spec density R2MSE - intmax,spec density MSE - maxmax,spec density RMSE - maxmax,spec cross density MSE - L2,spec cross density RMSE - L2,spec cross density MSE - intmax,spec cross density RMSE - intmax,transfer: truncation parameter,transfer: RMSE,Z error train,Z error train (true dynamics),Z error test,Z error test (true dynamics),Z error train (holdout),Z error train (holdout true dynamics),
1,2,724473221,15.0443,900,30,0.010892,0.021327,0.038211,0.29591,0.53669,0.19156,1.2314,0.26501,0.22875,3.6251,0.062446,3.6254,2.6576,1,0.68654,0.1653,0.073924,0.16833,0.072903,0.20788,0.082048,
1,2,264156359,14.2622,600,24,0.0011338,0.010687,0.019147,0.33979,0.54726,0.19533,1.3661,0.27715,0.23922,3.8173,0.024458,3.8174,2.0738,1,0.46719,0.13811,0.069868,0.13265,0.062731,0.13127,0.057277,
1,3,3651586133,14.1476,600,24,0.0015424,0.01847,0.033092,0.38652,0.59878,0.21371,1.5447,0.27051,0.23349,5.2909,0.032845,5.291,2.9756,1,0.75548,0.10375,0.028332,0.10417,0.027827,0.091499,0.026032,
1,3,437266426,14.1999,600,24,0.0072298,0.026308,0.047135,0.28602,0.62975,0.22477,1.3452,0.48525,0.41885,13.8207,0.07196,13.8211,6.4593,1,0.60833,0.11684,0.048932,0.13279,0.055909,0.11549,0.036858,
1,3,466491015,13.287,300,17,0.0081322,0.022368,0.040076,0.45531,0.60362,0.21544,1.5503,0.221,0.19075,5.1474,0.07879,5.1476,3.8636,1,1.0592,0.32522,0.08822,0.46129,0.082187,0.35012,0.079763,
1,3,697943500,13.3689,300,17,0.016961,0.054738,0.098073,0.48869,0.76935,0.27459,1.6771,0.3876,0.33455,9.3387,0.1049,9.3392,6.7133,1,0.93072,0.13843,0.030812,0.13868,0.033454,0.14761,0.031815,
1,3,2200216773,14.949,900,30,0.005699,0.024622,0.044114,0.26831,0.55193,0.19699,1.2338,0.31786,0.27436,1.936,0.063826,1.9365,1.6813,1,0.76098,0.15128,0.063498,0.17153,0.081823,0.17663,0.067636,
1,2,3811337676,15.0059,900,30,0.0023859,0.024737,0.044321,0.33589,0.59463,0.21223,1.4419,0.26397,0.22785,7.3597,0.040425,7.3598,3.7469,1,0.61755,0.22411,0.088037,0.22302,0.084034,0.23167,0.097676,
0,3,2000307708,11.4547,600,24,0.01234,0.0049463,0.079183,0.49752,0.35083,0.3504,2.2016,0.10989,0.68959,1.9632,0.07171,1.9633,1.9973,1,0.41468,0.14619,0.077718,0.15524,0.074833,0.16295,0.063189,
1,2,443825377,14.9605,900,30,0.011067,0.031502,0.056441,0.31995,0.61884,0.22087,1.3689,0.42365,0.36568,18.3201,0.10947,18.3203,9.9425,1,0.66553,0.29581,0.12166,0.30185,0.10363,0.30204,0.11215,
1,3,186918726,13.3249,300,17,0.007039,0.025089,0.044952,0.51872,0.70082,0.25014,1.8152,0.27757,0.23958,14.0738,0.044464,14.074,5.7567,1,0.70959,0.078645,0.031135,0.090602,0.029167,0.07621,0.032699,
4,1,3948944046,10.9501,300,17,0.022874,0.033855,0.06094,0.65208,0.61438,0.31048,2.0298,0.3363,0.37114,2.528,0.11363,2.5283,3.1116,1,0.76614,0.45136,0.15539,0.54883,0.15115,0.40102,0.10743,
1,2,3999339224,15.1161,900,30,0.00065795,0.026657,0.047761,0.32293,0.61809,0.22061,1.5141,0.37106,0.32028,3.2385,0.049616,3.2388,2.3997,1,0.57983,0.12284,0.055553,0.12729,0.055906,0.13266,0.05286,
1,3,2810105974,14.9193,900,30,0.0025323,0.025583,0.045836,0.31463,0.53821,0.1921,1.251,0.41662,0.35961,19.3772,0.060243,19.3773,7.5506,1,0.68743,0.14759,0.058689,0.15568,0.059199,0.15514,0.058112,
1,3,748455071,14.8787,900,30,0.0060005,0.011485,0.020578,0.33523,0.59544,0.21252,1.5202,0.24101,0.20803,1.9966,0.024526,1.9967,1.4619,1,0.83328,0.11803,0.036663,0.11464,0.036892,0.122,0.039909,
1,3,2795892225,14.0399,600,24,0.0045907,0.02912,0.052173,0.47677,0.70941,0.2532,1.6372,0.44582,0.38481,12.9715,0.088801,12.9717,6.6514,1,0.7508,0.22937,0.076657,0.24921,0.077086,0.29078,0.059403,
1,3,2578434964,13.9933,600,24,0.0030618,0.010575,0.018947,0.33108,0.48139,0.17182,1.2962,0.16985,0.14661,2.3469,0.025801,2.347,1.6686,1,0.82079,0.091086,0.027429,0.10461,0.029938,0.083478,0.032105,
